sku,supplier,origin_region,distance_km,historical_avg_lead_time_days,order_quantity,unit_cost_usd,is_peak_season,actual_delay_days
ARV-GENERIC-STAVUDINE,Aurobindo Pharma Limited,Asia Pacific,3898.8,97.0,42000,0.02,False,0.0
ARV-VIRAMUNE-NEVIRAPINE,S. BUYS WHOLESALER,Europe,6200.0,51.0,50,0.06,False,0.0
ARV-GENERIC-EFAVIRENZ,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Asia Pacific,3846.5,126.0,16800,0.34,True,0.0
MRDT-PARAMAX-MALARIA-PARAMAX-3-KIT,ZEPHYR BIOMEDICALS,Asia Pacific,16005.4,21.0,98,1.5,False,0.0
HRDT-DETERMINE-HIV-1-2,"Orgenics, Ltd",Asia Pacific,8286.3,81.0,4500,0.72,False,0.0
HRDT-UNI-GOLD-HIV-1-2,"Trinity Biotech, Plc",Europe,6200.0,23.0,10,1.6,False,0.0
HRDT-GENIE-HIV,BIO-RAD LABORATORIES (FRANCE),Asia Pacific,8246.1,36.0,500,1.9,False,0.0
ACT-GENERIC-ARTESUNATE-AMODIAQUINE,IDA FOUNDATION,Asia Pacific,8340.1,142.0,25000,0.03,False,0.0
ARV-ATRIPLA-EFAVIRENZ-EMTRICITABINE-TENO,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Asia Pacific,8200.0,4.0,9,1.68,False,29.0
HRDT-DETERMINE-HIV-1-2,"Orgenics, Ltd",Asia Pacific,8203.8,35.0,150,0.72,False,0.0
HRDT-UNI-GOLD-HIV-1,"Trinity Biotech, Plc",Europe,6200.1,57.0,15,15.0,True,0.0
HRDT-BIOLINE-HIV-1-2,"Standard Diagnostics, Inc.",Asia Pacific,8208.2,113.0,319,0.8,False,0.0
ARV-VIREAD-TENOFOVIR-DISOPROXIL-FUMARAT,S. BUYS WHOLESALER,Asia Pacific,8200.0,51.0,80,0.76,False,0.0
ARV-VIREAD-TENOFOVIR-DISOPROXIL-FUMARAT,S. BUYS WHOLESALER,Asia Pacific,8200.0,51.0,120,0.76,False,0.0
ARV-ZERIT-STAVUDINE,S. BUYS WHOLESALER,Europe,6200.0,51.0,600,0.01,False,0.0
ARV-VIDEX-DIDANOSINE,S. BUYS WHOLESALER,Europe,6200.0,51.0,7,0.22,False,0.0
ARV-KALETRA-LOPINAVIR-RITONAVIR,S. BUYS WHOLESALER,Europe,6200.0,51.0,40,0.11,False,0.0
MRDT-PARAMAX-MALARIA-PARAMAX-3-KIT,ZEPHYR BIOMEDICALS,Asia Pacific,16000.0,79.0,108,1.5,False,0.0
ARV-ATRIPLA-EFAVIRENZ-EMTRICITABINE-TENO,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Asia Pacific,8535.6,123.0,50000,1.68,False,0.0
ANTM-GENERIC-QUININE-AS-DIHYDROCHLORIDE,IDA FOUNDATION,Asia Pacific,8627.1,73.0,140,0.2,False,0.0
HRDT-UNI-GOLD-HIV-1-2,"Trinity Biotech, Plc",Europe,6318.2,77.0,5700,1.6,False,0.0
ARV-GENERIC-LAMIVUDINE-ZIDOVUDINE,Aurobindo Pharma Limited,Asia Pacific,3933.3,84.0,5964,0.14,False,0.0
ARV-GENERIC-LAMIVUDINE,Aurobindo Pharma Limited,Asia Pacific,3800.0,84.0,21000,0.04,False,0.0
ARV-GENERIC-LAMIVUDINE-NEVIRAPINE-STAVUD,CIPLA LIMITED,Asia Pacific,3835.1,66.0,10560,0.12,False,0.0
ARV-GENERIC-LAMIVUDINE-ZIDOVUDINE,Aurobindo Pharma Limited,Asia Pacific,3808.0,146.0,2352,0.14,False,0.0
ARV-KALETRA-LOPINAVIR-RITONAVIR,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Europe,6239.9,112.0,524,0.14,False,0.0
ARV-GENERIC-LOPINAVIR-RITONAVIR,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Europe,6214.7,88.0,2094,0.17,False,0.0
HRDT-FIRST-RESPONSE-HIV-1-2-O,Premier Medical Corporation Ltd.,Asia Pacific,8429.6,69.0,8249,0.75,False,0.0
ARV-VIDEX-EC-DIDANOSINE-EC,BRISTOL-MYERS SQUIBB,Europe,6200.7,210.0,200,0.79,False,0.0
ARV-VIDEX-DIDANOSINE,BRISTOL-MYERS SQUIBB,Europe,9504.1,25.0,80,0.16,False,0.0
ARV-VIDEX-DIDANOSINE,BRISTOL-MYERS SQUIBB,Europe,9500.0,25.0,32,0.06,False,0.0
ARV-GENERIC-LOPINAVIR-RITONAVIR,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Europe,9501.0,40.0,46,0.17,False,0.0
ARV-GENERIC-EFAVIRENZ,S. BUYS WHOLESALER,Asia Pacific,8200.0,51.0,3025,0.52,False,0.0
ARV-GENERIC-EFAVIRENZ,S. BUYS WHOLESALER,Asia Pacific,8200.0,51.0,3500,0.47,False,0.0
ARV-GENERIC-ZIDOVUDINE,S. BUYS WHOLESALER,Asia Pacific,8200.0,51.0,1008,0.01,False,0.0
ARV-ZERIT-STAVUDINE,S. BUYS WHOLESALER,Europe,6200.0,51.0,960,0.01,False,0.0
ARV-EPIVIR-LAMIVUDINE,S. BUYS WHOLESALER,North America,11000.0,51.0,1800,0.02,False,0.0
ARV-GENERIC-STAVUDINE,S. BUYS WHOLESALER,Asia Pacific,8200.0,51.0,1200,0.05,False,0.0
ARV-GENERIC-LAMIVUDINE,S. BUYS WHOLESALER,Asia Pacific,8200.0,99.0,346,0.02,False,0.0
ARV-GENERIC-EFAVIRENZ,S. BUYS WHOLESALER,Asia Pacific,8200.0,99.0,5300,0.1,False,0.0
ARV-GENERIC-LAMIVUDINE,S. BUYS WHOLESALER,Asia Pacific,8200.0,99.0,342,0.02,False,0.0
ARV-ZERIT-STAVUDINE,S. BUYS WHOLESALER,Europe,6200.0,65.0,2700,0.07,False,0.0
ARV-ALUVIA-LOPINAVIR-RITONAVIR,S. BUYS WHOLESALER,Europe,6200.0,90.0,3735,0.3,False,0.0
ARV-RETROVIR-ZIDOVUDINE,S. BUYS WHOLESALER,Asia Pacific,8200.0,90.0,6000,0.22,False,0.0
ARV-GENERIC-STAVUDINE,S. BUYS WHOLESALER,Asia Pacific,8200.0,90.0,11672,0.05,False,0.0
HRDT-ORAQUICK-HIV-1-2,Orasure Technologies Inc.,Asia Pacific,8203.9,233.0,20,3.5,True,0.0
ARV-ALUVIA-LOPINAVIR-RITONAVIR,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Europe,6356.4,92.0,10240,0.34,False,0.0
ARV-NORVIR-RITONAVIR,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Europe,6210.8,114.0,400,0.11,False,0.0
ARV-KALETRA-LOPINAVIR-RITONAVIR,S. BUYS WHOLESALER,Europe,6200.0,120.0,30,0.12,False,0.0
ARV-TRUVADA-EMTRICITABINE-TENOFOVIR-DISO,S. BUYS WHOLESALER,Asia Pacific,8200.0,43.0,80,1.17,False,0.0
ARV-GENERIC-ZIDOVUDINE,S. BUYS WHOLESALER,Asia Pacific,8200.0,43.0,1000,0.33,False,0.0
HRDT-ORAQUICK-HIV-1-2,Orasure Technologies Inc.,Asia Pacific,16023.0,167.0,60,3.5,False,0.0
HRDT-DETERMINE-HIV-1-2,"Orgenics, Ltd",Asia Pacific,8381.6,97.0,7500,0.8,False,0.0
HRDT-DETERMINE-HIV-1-2,"Orgenics, Ltd",Asia Pacific,8357.0,131.0,6395,0.8,False,0.0
ARV-GENERIC-EFAVIRENZ,HETERO LABS LIMITED,Asia Pacific,8567.5,101.0,55356,0.23,False,0.0
HRDT-GENIE-HIV,BIO-RAD LABORATORIES (FRANCE),Asia Pacific,8290.3,153.0,1000,2.75,False,0.0
ARV-NORVIR-RITONAVIR,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Europe,7803.7,79.0,8,0.23,False,0.0
ARV-GENERIC-LAMIVUDINE-NEVIRAPINE-ZIDOVU,Aurobindo Pharma Limited,Asia Pacific,3868.6,72.0,3500,0.19,False,0.0
HRDT-ORAQUICK-HIV-1-2,Orasure Technologies Inc.,Asia Pacific,8201.0,16.0,5,3.5,False,28.0
HRDT-CLEARVIEW-HIV-1-2,"Orgenics, Ltd",Asia Pacific,8203.9,106.0,67,3.0,False,0.0
ARV-VIDEX-DIDANOSINE,BRISTOL-MYERS SQUIBB,Europe,7811.5,62.0,400,0.12,False,0.0
HRDT-UNI-GOLD-HIV-1-2,"Trinity Biotech, Plc",Europe,6204.9,27.0,220,1.6,False,0.0
ARV-NORVIR-RITONAVIR,S. BUYS WHOLESALER,Europe,6200.0,53.0,50,0.12,False,0.0
ARV-GENERIC-LAMIVUDINE,S. BUYS WHOLESALER,Asia Pacific,8200.0,129.0,5000,0.14,False,0.0
ARV-EPIVIR-LAMIVUDINE,S. BUYS WHOLESALER,North America,11000.0,129.0,460,0.03,False,0.0
HRDT-GENIE-HIV,BIO-RAD LABORATORIES (FRANCE),Asia Pacific,8213.5,69.0,147,1.88,False,0.0
HRDT-ORAQUICK-HIV-1-2,Orasure Technologies Inc.,Asia Pacific,8201.2,58.0,6,4.0,False,0.0
ARV-VIDEX-DIDANOSINE,BRISTOL-MYERS SQUIBB,Europe,7843.3,81.0,2800,0.12,True,0.0
HRDT-ORAQUICK-HIV-1-2,Orasure Technologies Inc.,Asia Pacific,16005.8,58.0,15,4.0,True,0.0
ARV-KALETRA-LOPINAVIR-RITONAVIR,INTERNATIONAL HEALTHCARE DISTRIBUTORS,North America,11014.9,107.5,260,0.24,True,0.0
ARV-GENERIC-LAMIVUDINE,Aurobindo Pharma Limited,Asia Pacific,8239.3,120.0,894,0.06,True,0.0
ARV-GENERIC-LAMIVUDINE-ZIDOVUDINE,CIPLA LIMITED,Asia Pacific,3897.8,119.0,25100,0.18,False,0.0
ARV-GENERIC-STAVUDINE,STRIDES ARCOLAB LIMITED,Asia Pacific,4148.5,119.0,95500,0.03,False,0.0
HRDT-UNI-GOLD-HIV-1-2,"Trinity Biotech, Plc",Europe,9530.0,77.5,900,2.0,True,0.0
ARV-ALUVIA-LOPINAVIR-RITONAVIR,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Asia Pacific,8202.1,90.0,80,0.34,False,0.0
ARV-GENERIC-LAMIVUDINE-NEVIRAPINE-STAVUD,CIPLA LIMITED,Asia Pacific,4058.9,123.0,70000,0.12,False,0.0
ARV-GENERIC-EFAVIRENZ,CIPLA LIMITED,Asia Pacific,8200.0,67.0,71577,0.51,False,0.0
ARV-GENERIC-ABACAVIR,CIPLA LIMITED,Asia Pacific,8200.0,67.0,5605,0.6,False,0.0
HRDT-DETERMINE-HIV-1-2,Abbott GmbH & Co. KG,Europe,6200.0,14.0,200,0.8,True,0.0
ARV-GENERIC-LAMIVUDINE-NEVIRAPINE-STAVUD,CIPLA LIMITED,Asia Pacific,3889.2,198.0,25000,0.12,False,0.0
HRDT-GENIE-HIV,BIO-RAD LABORATORIES (FRANCE),Asia Pacific,8233.0,69.0,375,1.9,False,15.0
HRDT-DETERMINE-HIV-1-2,Abbott GmbH & Co. KG,Europe,6305.8,32.0,4650,0.8,False,0.0
ARV-VIDEX-DIDANOSINE,BRISTOL-MYERS SQUIBB,Europe,6219.0,167.0,1577,0.16,False,0.0
HRDT-DETERMINE-HIV-1-2,Abbott GmbH & Co. KG,Europe,6274.0,34.5,3500,0.8,False,0.0
ARV-VIDEX-DIDANOSINE,BRISTOL-MYERS SQUIBB,Europe,6200.0,81.0,4270,0.16,False,0.0
ARV-GENERIC-NEVIRAPINE,Aurobindo Pharma Limited,Asia Pacific,3836.5,91.0,1000,0.01,False,0.0
ARV-GENERIC-ZIDOVUDINE,Aurobindo Pharma Limited,Asia Pacific,3800.0,91.0,1000,0.01,False,0.0
ARV-GENERIC-ZIDOVUDINE,Aurobindo Pharma Limited,Asia Pacific,3800.0,103.0,1000,0.01,False,0.0
ARV-GENERIC-LAMIVUDINE-NEVIRAPINE-ZIDOVU,Aurobindo Pharma Limited,Asia Pacific,3812.6,103.0,3000,0.22,False,0.0
ARV-GENERIC-EFAVIRENZ,Aurobindo Pharma Limited,Asia Pacific,3874.3,142.0,22500,0.41,True,0.0
ARV-ALUVIA-LOPINAVIR-RITONAVIR,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Europe,7809.1,55.0,500,0.68,False,0.0
HRDT-BIOLINE-HIV-1-2,"Standard Diagnostics, Inc.",Asia Pacific,8473.6,74.5,10000,0.8,False,0.0
ARV-VIREAD-TENOFOVIR-DISOPROXIL-FUMARAT,ASPEN PHARMACARE,Asia Pacific,8212.9,77.0,1609,0.57,False,0.0
ARV-KALETRA-LOPINAVIR-RITONAVIR,"JSI R&T INSTITUTE, INC.",Europe,6200.0,78.0,30,0.16,False,0.0
ARV-VIDEX-EC-DIDANOSINE-EC,"JSI R&T INSTITUTE, INC.",Europe,6200.0,78.0,100,0.95,False,0.0
ARV-NORVIR-RITONAVIR,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Europe,7826.3,128.0,100,0.55,False,0.0
HRDT-STAT-PAK-HIV-1-2,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Asia Pacific,8473.6,52.0,10000,1.35,False,0.0
ARV-GENERIC-ABACAVIR,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Asia Pacific,8209.3,56.0,1099,0.46,False,0.0
ARV-GENERIC-STAVUDINE,Aurobindo Pharma Limited,Asia Pacific,3804.8,58.0,1200,0.03,False,0.0
HRDT-ORAQUICK-HIV-1-2,Orasure Technologies Inc.,Asia Pacific,3800.0,27.0,50,3.5,True,0.0
HRDT-DETERMINE-HIV-1-2,"Orgenics, Ltd",Asia Pacific,8212.1,89.0,650,0.8,False,0.0
ARV-ZERIT-STAVUDINE,"JSI R&T INSTITUTE, INC.",Europe,6200.0,17.0,100,0.1,False,0.0
HRDT-UNI-GOLD-HIV-1-2,"Trinity Biotech, Plc",Europe,6209.5,150.0,450,1.6,False,0.0
HRDT-STAT-PAK-HIV-1-2,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Asia Pacific,8438.4,234.0,10270,1.35,False,0.0
HRDT-UNI-GOLD-HIV-1-2,"Trinity Biotech, Plc",Europe,6758.0,37.0,9000,1.6,False,0.0
HRDT-UNI-GOLD-HIV-1-2,"Trinity Biotech, Plc",Europe,6327.2,79.0,6040,1.6,False,0.0
HRDT-GENERIC-HIV,"Orgenics, Ltd",Asia Pacific,8223.3,98.0,4300,0.01,False,0.0
HRDT-STAT-PAK-HIV-1-2,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Asia Pacific,8206.5,371.0,289,1.35,False,0.0
HRDT-DETERMINE-HIV-1-2,"Orgenics, Ltd",Asia Pacific,8255.9,133.0,3000,0.72,False,0.0
HRDT-GENERIC-HIV,"Orgenics, Ltd",Asia Pacific,8200.0,40.0,70,0.01,False,0.0
HRDT-DETERMINE-HIV-1-2,"Orgenics, Ltd",Asia Pacific,8220.9,145.0,1116,0.7,False,0.0
HRDT-DETERMINE-HIV-1-2,"Orgenics, Ltd",Asia Pacific,8221.0,294.0,1116,0.7,True,0.0
HRDT-UNI-GOLD-HIV-1-2,"Trinity Biotech, Plc",Europe,9579.0,68.0,832,1.6,False,0.0
HRDT-DETERMINE-HIV-1-2,"Orgenics, Ltd",Asia Pacific,16007.8,151.0,213,0.72,False,0.0
HRDT-ORAQUICK-HIV-1-2,Orasure Technologies Inc.,Asia Pacific,8203.2,58.0,10,3.5,False,0.0
HRDT-GENERIC-HIV,"Orgenics, Ltd",Asia Pacific,8200.0,245.0,1634,0.01,True,0.0
ARV-KALETRA-LOPINAVIR-RITONAVIR,S. BUYS WHOLESALER,Europe,6200.0,64.0,400,0.22,False,0.0
ARV-NORVIR-RITONAVIR,S. BUYS WHOLESALER,Europe,6200.0,64.0,6,0.09,False,0.0
ARV-VIREAD-TENOFOVIR-DISOPROXIL-FUMARAT,S. BUYS WHOLESALER,Asia Pacific,8200.0,64.0,500,0.73,False,0.0
ARV-GENERIC-LAMIVUDINE,Aurobindo Pharma Limited,Asia Pacific,3819.3,98.0,10080,0.05,False,0.0
ARV-GENERIC-EFAVIRENZ,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Asia Pacific,3819.8,62.0,6720,0.38,False,0.0
HRDT-GENERIC-HIV,"Orgenics, Ltd",Asia Pacific,8201.4,32.0,250,0.01,False,0.0
ARV-GENERIC-EFAVIRENZ,S. BUYS WHOLESALER,Asia Pacific,8200.0,21.0,300,0.51,False,0.0
ARV-RETROVIR-ZIDOVUDINE,S. BUYS WHOLESALER,Asia Pacific,8200.0,21.0,300,0.23,False,0.0
ARV-VIDEX-EC-DIDANOSINE-EC,S. BUYS WHOLESALER,Europe,6200.0,21.0,100,0.62,False,0.0
HRDT-GENERIC-HIV,"Orgenics, Ltd",Asia Pacific,8200.0,89.0,1130,0.01,False,0.0
ARV-VIDEX-DIDANOSINE,BRISTOL-MYERS SQUIBB,Europe,7806.3,143.0,400,0.12,False,0.0
ARV-GENERIC-STAVUDINE,STRIDES ARCOLAB LIMITED,Asia Pacific,3819.1,98.0,10780,0.02,False,0.0
ARV-KALETRA-LOPINAVIR-RITONAVIR,S. BUYS WHOLESALER,Europe,6200.0,51.0,670,0.21,False,0.0
ARV-EPIVIR-LAMIVUDINE,S. BUYS WHOLESALER,Africa,8000.0,51.0,2000,0.09,False,0.0
ARV-RETROVIR-ZIDOVUDINE,S. BUYS WHOLESALER,Asia Pacific,8200.0,51.0,1000,0.28,False,0.0
ARV-VIRAMUNE-NEVIRAPINE,S. BUYS WHOLESALER,Europe,6200.0,51.0,30,0.06,False,0.0
HRDT-DETERMINE-HIV-1-2,"Orgenics, Ltd",Asia Pacific,16041.1,157.0,1123,0.7,False,0.0
HRDT-CAPILLUS-HIV-1-2,"Trinity Biotech, Plc",Europe,6214.5,65.0,340,1.39,False,0.0
ARV-GENERIC-LAMIVUDINE-NEVIRAPINE-ZIDOVU,Aurobindo Pharma Limited,Asia Pacific,8635.5,40.0,47879,0.2,False,0.0
ARV-GENERIC-LAMIVUDINE-NEVIRAPINE-ZIDOVU,Aurobindo Pharma Limited,Asia Pacific,8755.0,40.0,61021,0.2,False,0.0
ARV-GENERIC-LAMIVUDINE-ZIDOVUDINE,Aurobindo Pharma Limited,Asia Pacific,3800.0,80.0,4300,0.14,False,0.0
ARV-GENERIC-STAVUDINE,Aurobindo Pharma Limited,Asia Pacific,3842.3,92.0,18030,0.02,False,0.0
ARV-RETROVIR-ZIDOVUDINE,S. BUYS WHOLESALER,Asia Pacific,8200.0,51.0,50,0.22,False,4.0
ARV-STOCRIN-SUSTIVA-EFAVIRENZ,S. BUYS WHOLESALER,Asia Pacific,8200.0,51.0,250,0.1,False,0.0
